date	gold	platinum	palladium	silver50
20130410	1577.81	1549.22	736.48	1368.00
20130411	1576.42	1535.05	713.70	1358.00
20130412	1544.64	1514.11	712.87	1377.00
20130413	1539.40	1515.54	717.00	1371.00
20130416	1425.18	1458.39	677.36	1379.00
20130417	1393.40	1448.01	679.51	1190.00
20130418	1384.70	1445.95	678.79	1178.50
20130419	1424.47	1458.12	685.21	1188.50
20130420	1430.23	1455.52	686.79	1189.00
20130423	1446.21	1451.28	686.06	1200.50
20130424	1441.76	1440.49	681.59	1200.50
20130425	1446.86	1451.43	690.67	1168.50
20130426	1456.42	1454.91	680.64	1153.50
20130427	1467.71	1482.51	680.53	1169.50
20130430	1479.71	1500.32	687.35	1207.00
20130501	1469.90	1510.07	697.65	1211.00
20130507	1468.32	1500.05	693.56	1211.50
20130508	1461.84	1488.82	690.45	1211.50
20130509	1453.04	1488.01	685.55	1186.50
20130514	1442.35	1500.11	710.21	1179.00
20130515	1444.55	1512.43	726.05	1189.50
20130516	1426.99	1510.60	729.53	1184.00
20130517	1390.86	1484.80	727.25	1155.00
20130518	1389.57	1485.71	742.85	1123.50
20130521	1364.07	1463.07	741.61	1134.50
20130522	1382.01	1471.47	743.75	1085.50
20130523	1390.79	1470.86	755.01	1126.50
20130524	1402.38	1475.23	744.70	1144.50
20130525	1394.73	1469.99	742.04	1131.00
20130528	1399.14	1464.31	733.66	1126.00
20130529	1391.19	1460.80	739.48	1129.00
20130530	1403.05	1478.55	760.05	1133.00
20130531	1428.21	1484.83	763.75	1135.50
20130601	1441.73	1503.84	771.86	1159.50
20130604	1439.20	1510.55	771.76	1163.00
20130605	1438.27	1523.99	768.65	1148.00
20130606	1435.93	1539.26	776.31	1157.50
20130607	1446.07	1558.18	780.12	1155.50
20130608	1461.51	1592.11	787.76	1172.50
20130611	1430.80	1547.46	783.60	1174.50
20130612	1426.37	1555.00	792.60	1136.00
20130614	1441.66	1522.52	777.90	1132.50
20130615	1410.78	1482.61	748.46	1116.00
20130618	1411.64	1474.79	743.51	1104.50
20130619	1413.02	1463.76	720.60	1121.00
20130620	1410.65	1486.03	732.17	1125.50
20130621	1370.32	1472.04	716.04	1136.50
20130622	1358.27	1434.86	710.59	1065.50
20130625	1357.77	1438.45	708.91	1051.00
20130626	1351.54	1420.95	704.69	1033.50
20130627	1299.50	1398.89	686.23	1045.00
20130628	1302.23	1398.42	680.71	986.50
20130629	1265.36	1393.39	680.40	978.50
20130702	1313.39	1425.88	715.05	996.00
20130703	1335.49	1461.81	726.67	1029.50
20130704	1330.80	1454.70	728.42	1048.00
20130705	1332.13	1431.82	724.97	1042.00
20130706	1316.82	1421.77	718.90	1045.00
20130709	1312.87	1430.18	727.41	1035.00
20130710	1331.73	1455.12	746.70	1019.00
20130711	1325.03	1443.27	739.63	1010.50
20130712	1341.82	1467.81	758.52	1014.50
20130713	1338.10	1467.19	752.49	1041.50
20130716	1343.80	1480.94	761.44	1031.00
20130717	1345.46	1477.29	760.62	1037.00
20130718	1339.95	1480.55	761.66	1041.00
20130719	1333.09	1466.68	759.38	1033.00
20130720	1340.80	1479.46	775.70	1016.00
20130723	1365.28	1489.21	776.30	1009.00
20130724	1378.24	1491.73	764.56	1036.00
